epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567420310013,2019-09-02T03:31:50.013,0.000,-0.757,-0.082,0.675
1567420310013,2019-09-02T03:31:50.013,0.000,-0.767,-0.086,0.683
1567420310013,2019-09-02T03:31:50.013,0.000,-0.764,-0.083,0.673
1567420310161,2019-09-02T03:31:50.161,0.148,-0.763,-0.089,0.680
1567420310161,2019-09-02T03:31:50.161,0.148,-0.768,-0.086,0.677
1567420310161,2019-09-02T03:31:50.161,0.148,-0.762,-0.086,0.683
1567420310219,2019-09-02T03:31:50.219,0.206,-0.761,-0.083,0.679
1567420310219,2019-09-02T03:31:50.219,0.206,-0.758,-0.084,0.687
1567420310219,2019-09-02T03:31:50.219,0.206,-0.755,-0.083,0.684
1567420310288,2019-09-02T03:31:50.288,0.275,-0.750,-0.086,0.689
1567420310288,2019-09-02T03:31:50.288,0.275,-0.749,-0.087,0.688
1567420310288,2019-09-02T03:31:50.288,0.275,-0.759,-0.087,0.688
1567420310331,2019-09-02T03:31:50.331,0.318,-0.757,-0.090,0.687
1567420310331,2019-09-02T03:31:50.331,0.318,-0.751,-0.089,0.690
1567420310331,2019-09-02T03:31:50.331,0.318,-0.751,-0.088,0.685
1567420310385,2019-09-02T03:31:50.385,0.372,-0.753,-0.093,0.692
1567420310385,2019-09-02T03:31:50.385,0.372,-0.746,-0.092,0.691
1567420310385,2019-09-02T03:31:50.385,0.372,-0.747,-0.096,0.693
1567420310417,2019-09-02T03:31:50.417,0.404,-0.752,-0.097,0.693
1567420310417,2019-09-02T03:31:50.417,0.404,-0.753,-0.099,0.692
1567420310417,2019-09-02T03:31:50.417,0.404,-0.750,-0.098,0.696
1567420310462,2019-09-02T03:31:50.462,0.449,-0.755,-0.096,0.700
1567420310462,2019-09-02T03:31:50.462,0.449,-0.757,-0.099,0.702
1567420310462,2019-09-02T03:31:50.462,0.449,-0.770,-0.107,0.709
1567420310505,2019-09-02T03:31:50.505,0.492,-0.755,-0.111,0.731
