x-axis,y-axis,z-axis,xg-axis,yg-axis,zg-axis,activity
0.491,-0.038,0.9256,-4.1463,-5.0,16.0976,1
0.4807,-0.053,0.8994,-5.4268,-7.0732,16.4634,1
0.4739,-0.0603,0.8763,-6.2805,-9.878,17.0122,1
0.4722,-0.0745,0.8666,-6.3415,-13.7195,17.561,1
0.4832,-0.0899,0.8707,-5.7927,-17.8049,17.8049,1
0.4998,-0.0976,0.8718,-4.7561,-19.939,18.3537,1
0.5088,-0.1099,0.8797,-3.7195,-19.2073,19.0244,1
0.5104,-0.1227,0.887,-3.7195,-14.939,19.5732,1
0.5029,-0.1375,0.8913,-4.2683,-9.0244,19.8171,1
0.498,-0.1582,0.8992,-5.061,-3.9634,19.7561,1
0.4896,-0.1725,0.9039,-4.8171,0.122,19.3293,1
0.4715,-0.18100000000000002,0.8983,-4.2073,3.2317,18.2927,1
0.4542,-0.1868,0.8794,-3.4146,5.122000000000001,16.9512,1
0.4407,-0.2055,0.8694,-3.4756,5.3049,15.4878,1
0.4352,-0.2104,0.8718,-3.5366,4.0244,14.3293,1
0.4343,-0.2043,0.8766,-3.0488,1.2195,13.7195,1
0.4449,-0.2129,0.8857,-3.2317,-2.5,12.9878,1
0.4563,-0.217,0.8902,-3.7805,-6.4634,12.2561,1
0.4626,-0.2142,0.8918,-3.5366,-9.878,11.5244,1
0.4808,-0.2092,0.883,-3.1707,-11.8293,10.3659,1
0.4928,-0.2064,0.8798,-2.439,-11.5854,9.0244,1
0.4957,-0.2034,0.8831,-1.8293,-9.0244,7.9878,1
0.4915,-0.198,0.8892,-1.5854,-4.8171,7.0122,1
0.4819,-0.1826,0.8936,-1.5244,-0.061,5.9146,1
0.465,-0.1735,0.8885,-1.5854,4.0244,4.5732,1
0.4477,-0.1719,0.8825,-2.439,6.9512,3.5366,1
0.4344,-0.1609,0.8833,-2.5610000000000004,7.8049,2.5610000000000004,1
0.4302,-0.1547,0.8909,-2.439,6.3415,1.6463,1
0.4294,-0.1487,0.8975,-2.3171,3.3537,1.1585,1
0.4299,-0.1477,0.9011,-2.5,-0.5488,0.9146,1
0.4363,-0.1425,0.9003,-2.9878,-4.6951,0.4268,1
0.4485,-0.1364,0.8941,-3.5976,-8.7195,-0.122,1
0.45399999999999996,-0.1354,0.8849,-4.5122,-12.1341,-0.8537,1
0.4555,-0.1406,0.8766,-5.3049,-14.5122,-1.7683,1
0.4563,-0.1467,0.8834,-5.9146,-15.8537,-2.5610000000000004,1
0.4736,-0.1584,0.9158,-7.1951,-17.0122,-3.1098,1
0.5002,-0.1477,0.9412,-7.439,-18.1707,-4.0244,1
0.526,-0.129,0.938,-7.0122,-20.2439,-5.1829,1
0.5497,-0.1268,0.9121,-8.4756,-24.2683,-6.5854,1
0.5916,-0.1325,0.9004,-10.061,-30.061,-7.1341,1
0.6579,-0.1451,0.9096,-11.3415,-37.5,-6.5244,1
0.7333,-0.1534,0.9359,-12.8659,-45.06100000000001,-4.3902,1
0.7733,-0.1348,0.9614,-13.0488,-49.3902,-1.1585,1
0.7836,-0.1235,0.9794,-11.8293,-49.3902,0.4878,1
0.7897,-0.1287,0.9745,-12.0732,-47.2561,1.3415,1
0.7943,-0.1274,0.9371,-14.1463,-47.0122,6.0976,1
0.7877,-0.1216,0.8978,-16.4634,-50.4878,11.8902,1
0.7727,-0.1279,0.8527,-16.3415,-57.43899999999999,16.1585,1
0.7571,-0.1586,0.8106,-15.3049,-65.7317,21.3415,1
0.7545,-0.1957,0.7791,-14.4512,-71.4024,27.561,1
0.7686,-0.2465,0.7626,-12.3171,-70.9146,32.9268,1
0.7601,-0.2771,0.7657,-8.5976,-63.6585,36.6463,1
0.7123,-0.2729,0.736,-3.3537,-52.3171,40.1829,1
0.6047,-0.2613,0.6876,1.0366,-44.2683,41.6463,1
0.5587,-0.2792,0.6889,2.5610000000000004,-50.7927,41.5854,1
0.7216,-0.27399999999999997,0.6974,5.7317,-73.9634,41.3415,1
0.9183,-0.183,0.7156,17.5,-92.3781,39.5732,1
0.9345,-0.1042,0.7278,35.3659,-84.2073,34.3293,1
0.7729,-0.0719,0.6476,42.56100000000001,-54.5732,28.9024,1
0.5999,0.0111,0.589,39.878,-22.439,27.0732,1
0.6345,0.1454,0.5913,39.5732,3.4756,27.9878,1
0.7108,0.2167,0.6378,44.6951,30.122,27.8659,1
0.8374,0.1732,0.6267,41.2195,57.3171,33.9634,1
0.9139,0.0184,0.6562,29.939,92.9878,39.2683,1
0.9123,-0.0838,0.6815,24.1463,147.5,37.1951,1
0.7262,-0.0956,0.6732,25.6707,216.0366,37.0122,1
0.4251,-0.1492,0.6515,27.9878,289.2073,30.2439,1
0.1773,-0.2403,0.6418,28.9024,340.9146,24.8171,1
-0.0453,-0.3228,0.7234,30.9146,350.4268,27.2561,1
-0.1154,-0.3307,0.8002,36.0366,319.5732,32.1341,1
-0.0571,-0.3144,0.8298,45.6707,260.3658,37.1951,1
0.0089,-0.3247,0.8733,54.7561,188.9634,39.3293,1
0.0831,-0.3782,0.9188,59.6951,118.7195,43.6585,1
0.1446,-0.4481,0.9085,61.5244,60.7927,49.93899999999999,1
0.1416,-0.4445,0.9039,64.6341,25.7317,53.7805,1
0.145,-0.4045,0.9052,69.6951,4.5122,55.3049,1
0.2467,-0.3726,0.8763,72.561,-19.2683,55.7317,1
0.3328,-0.3094,0.7953,74.5732,-39.6951,53.5976,1
0.3246,-0.301,0.708,75.1829,-45.9146,48.9634,1
0.3447,-0.321,0.6721,74.0854,-43.4756,44.0854,1
0.3834,-0.3008,0.7136,75.3049,-39.6341,45.2439,1
0.3925,-0.2582,0.7909999999999999,79.7561,-33.1707,46.5854,1
0.3942,-0.2112,0.8941,83.0488,-20.061,43.9024,1
0.3347,-0.1462,0.9609,83.7805,2.622,41.5854,1
0.1786,-0.1061,0.9752,83.9024,29.3902,42.1951,1
0.0891,-0.0881,0.9811,81.5854,49.2073,43.4146,1
0.1,-0.0531,1.0028,79.6341,54.5732,45.0,1
0.121,-0.0013,1.0587,77.8659,45.1829,46.2805,1
0.1209,0.0517,1.111,76.2805,30.6098,45.9146,1
0.1226,0.0698,1.101,73.4756,15.4268,43.8415,1
0.1708,0.0704,1.1356,68.0488,-4.6341,41.7073,1
0.2523,0.1055,1.2111,66.5244,-25.1829,35.9756,1
0.2483,0.1446,1.2274,65.9756,-30.3049,25.1829,1
0.1769,0.1422,1.1959,59.6341,-15.2439,17.5,1
0.1257,0.1227,1.1597,48.8415,7.1341,15.8537,1
0.1136,0.1166,1.1164,39.3902,22.8659,15.6098,1
0.0977,0.1307,1.0797,33.5976,31.3415,12.439,1
0.114,0.1473,1.0636,28.7195,35.9756,7.377999999999999,1
0.0309,0.1853,1.1107,26.6463,38.0488,2.8659,1
-0.0804,0.1992,1.1206,22.3171,37.622,1.8902,1
-0.0244,0.196,1.0724,12.622,25.8537,4.6341,1
0.0093,0.1815,1.0267,8.9634,5.3659,4.4512,1
0.0467,0.177,1.0382,6.5854,-12.1951,5.1829,1
0.22,0.1567,1.071,-0.6098,-26.6463,6.4634,1
0.3617,0.1272,1.0781,-7.3171,-33.5366,4.2073,1
0.3499,0.1189,1.0488,-8.9634,-23.5976,-0.4268,1
0.3489,0.1193,1.0442,-10.3049,-10.0,-1.5244,1
0.387,0.1093,1.0049,-9.0854,-5.061,-5.6098,1
0.43,0.0615,0.9228,-7.0122,-3.5976,-10.0,1
0.4136,0.0228,0.8841,-5.8537,-1.3415,-5.2439,1
0.3735,0.0222,0.8947,-2.9878,2.1341,-0.5488,1
0.3853,0.0333,0.9196,0.6707,4.2073,1.7073,1
0.4208,0.0456,0.9495,4.8171,5.4268,4.6341,1
0.4002,0.0637,0.9844,8.4146,11.8902,4.6341,1
0.3784,0.0516,1.0009,10.122,22.1951,4.8171,1
0.3314,0.0731,1.0409,10.5488,32.3171,6.8293,1
0.2364,0.0864,1.0885,11.3415,40.4268,10.061,1
0.223,0.0511,1.103,10.5488,46.2195,6.5854,1
0.19899999999999998,0.0557,1.0997,10.4878,49.7561,5.122000000000001,1
0.1761,0.0682,1.0715,12.1341,50.9146,8.5366,1
0.1248,0.0597,1.0441,15.3659,50.4878,8.7805,1
0.0648,0.0046,0.9266,19.2683,49.0854,8.3537,1
0.2007,0.0114,0.9583,23.2927,45.9756,9.4512,1
0.23800000000000002,0.0887,1.0503,27.622,45.8537,12.3171,1
0.1844,0.1179,1.0787,28.1707,47.9268,9.5732,1
0.1295,0.1207,1.0458,25.122,50.1829,3.4756,1
0.1174,0.1089,0.9946,23.9024,51.0366,0.6098,1
0.1624,0.1297,0.9968,22.8049,51.0976,1.8902,1
0.1424,0.14300000000000002,1.0482,20.6707,47.9268,5.8537,1
0.0928,0.1653,1.0491,15.5488,38.5976,6.5244,1
0.09,0.154,0.9998,10.1829,27.0732,6.2805,1
0.1466,0.1252,0.9758,7.1951,17.0122,5.7317,1
0.1368,0.1267,0.9322,5.9756,11.2805,5.2439,1
0.1346,0.1116,0.8779,4.8171,14.939,4.3293,1
0.0573,0.1158,0.9041,3.2927,21.2195,4.939,1
-0.0082,0.1404,0.9382,3.8415,23.0488,4.0854,1
0.0137,0.1486,0.9790000000000001,4.3293,18.1707,0.0,1
0.0188,0.1581,1.0067,2.8049,8.7805,0.0,1
0.0136,0.1448,1.0047,1.0976,0.9146,-0.2439,1
0.0549,0.1281,0.9941,-0.3659,-2.7439,-3.1707,1
0.0914,0.11699999999999999,0.9728,-0.7317,-5.3659,-4.6951,1
0.0928,0.1058,0.9639,-0.7927,-7.9268,-4.5122,1
0.0878,0.1207,0.9893,-0.9756,-8.7805,-1.8902,1
0.1035,0.1542,1.0078,-1.1585,-9.2073,0.5488,1
0.1191,0.1641,0.9979,-2.2561,-9.2073,0.6098,1
0.0633,0.1485,0.9655,-4.4512,-9.7561,0.7927,1
