x-axis,y-axis,z-axis,xg-axis,yg-axis,zg-axis,activity
0.0859,-0.0482,0.0735,-23.3537,-24.6951,-0.9756,1
0.0831,-0.0491,0.0707,-22.7439,-24.0854,-1.5854,1
0.081,-0.0499,0.0691,-22.1951,-23.2927,-2.3171,1
0.0829,-0.0521,0.0685,-21.7683,-23.5366,-3.8415,1
0.0861,-0.0539,0.0672,-22.0732,-23.5366,-5.3659,1
0.0864,-0.0552,0.0646,-21.6463,-22.0732,-6.2805,1
0.081,-0.0567,0.0606,-20.061,-19.878,-7.9878,1
0.0759,-0.0577,0.057,-17.1951,-19.5122,-10.3659,1
0.0764,-0.0601,0.0547,-15.7927,-22.561,-12.9268,1
0.0779,-0.062,0.0532,-15.7317,-28.9634,-15.0,1
0.0814,-0.0639,0.0533,-15.061,-36.7073,-16.9512,1
0.0894,-0.0649,0.0563,-13.0488,-43.7805,-19.3293,1
0.1008,-0.0664,0.0581,-12.5,-50.06100000000001,-20.7927,1
0.10300000000000001,-0.0681,0.059000000000000004,-13.7805,-49.8781,-20.3659,1
0.0948,-0.0679,0.0579,-9.939,-39.878,-19.939,1
0.0862,-0.0684,0.0559,-4.3293,-27.6829,-21.0976,1
0.0865,-0.0715,0.0573,-1.3415,-22.561,-22.6829,1
0.0934,-0.0734,0.0609,-0.7927,-21.9512,-23.0488,1
0.1018,-0.0715,0.0663,0.6707,-19.8171,-21.2805,1
0.1119,-0.0729,0.0743,2.9268,-11.1585,-19.5732,1
0.1196,-0.0706,0.0742,7.9268,6.0976,-16.5244,1
0.1241,-0.0619,0.0663,20.5488,34.1463,-12.1341,1
0.1225,-0.0646,0.0646,26.3415,69.2073,-8.1707,1
0.1151,-0.068,0.0629,25.4878,100.061,-0.9146,1
0.1084,-0.0706,0.0674,27.6829,120.0,9.878,1
0.1104,-0.0732,0.0734,30.9756,126.9512,19.2683,1
0.1126,-0.0654,0.076,36.0976,129.7561,27.0122,1
0.1043,-0.0598,0.0784,39.5122,137.2561,32.378,1
0.0954,-0.0589,0.0803,41.8902,140.2439,36.2195,1
0.0892,-0.0547,0.0823,42.7439,122.6829,40.9146,1
0.0846,-0.0538,0.0847,39.1463,88.7805,45.2439,1
0.0806,-0.0566,0.0881,33.8415,55.2439,48.1707,1
0.0773,-0.0617,0.0937,31.5854,32.1341,50.6707,1
0.0764,-0.0628,0.0948,32.439,21.6463,51.5854,1
0.0723,-0.0546,0.0914,39.6951,21.8293,50.1829,1
0.0695,-0.0549,0.0879,40.7927,31.4024,46.4634,1
0.0726,-0.0565,0.0831,36.5244,46.5854,46.9512,1
0.0729,-0.0576,0.0786,36.1585,63.1098,50.122,1
0.0613,-0.057999999999999996,0.0751,38.7195,77.8659,51.7073,1
0.0447,-0.0576,0.0751,43.1707,86.9512,53.2317,1
0.0372,-0.0581,0.0832,45.7317,81.1585,52.1951,1
0.0446,-0.0585,0.0908,43.2927,60.3659,48.5366,1
0.0569,-0.0624,0.09699999999999999,37.561,30.7317,47.3781,1
0.0679,-0.07200000000000001,0.1013,30.2439,0.2439,48.4756,1
0.0684,-0.0772,0.0959,25.0,-15.9146,47.622,1
0.0558,-0.0688,0.0831,30.6098,-14.4512,41.5854,1
0.0502,-0.063,0.0746,36.5854,-6.8902,33.4756,1
0.0545,-0.0596,0.0747,36.2195,-2.7439,29.8171,1
0.0532,-0.0594,0.0811,33.5366,0.7927,29.939,1
0.0443,-0.0583,0.0889,35.2439,7.622000000000001,27.9268,1
0.0357,-0.0548,0.0971,38.2927,6.4024,25.9756,1
0.0403,-0.0532,0.1046,36.8293,-11.4024,23.6585,1
0.053,-0.0473,0.1077,31.1585,-43.0488,17.8049,1
0.0641,-0.0411,0.1113,23.9634,-76.5244,11.1585,1
0.0739,-0.0408,0.1107,17.0122,-98.1098,2.3171,1
0.0728,-0.039,0.1065,13.4756,-101.7683,-6.4634,1
