x-axis,y-axis,z-axis,xg-axis,yg-axis,zg-axis,activity
0.1374,-0.0399,0.0553,-4.3902,-6.6463,1.0976,1
0.1409,-0.0436,0.0517,-4.5122,-2.1951,1.7683,1
0.1329,-0.0477,0.0536,-3.3537,3.2317,3.2317,1
0.1254,-0.0538,0.054000000000000006,1.2195,4.5122,4.1463,1
0.1177,-0.0572,0.0521,4.3902,-2.1951,3.9024,1
0.11,-0.0552,0.0554,6.7683,-20.8537,4.878,1
0.1099,-0.0564,0.0586,6.5854,-45.6707,6.7683,1
0.1133,-0.0646,0.0535,3.0488,-67.9268,8.1707,1
0.1204,-0.0768,0.0488,1.2805,-84.5732,8.9024,1
0.1222,-0.0801,0.0367,2.7439,-96.3415,12.378,1
0.1157,-0.0877,0.033,9.5732,-102.3781,11.9512,1
0.1115,-0.1059,0.0305,7.561,-111.7683,9.1463,1
0.1119,-0.1126,0.0222,2.622,-118.5366,14.3902,1
0.1307,-0.0991,0.025,7.622000000000001,-114.939,27.1951,1
0.1556,-0.0981,0.0304,16.2805,-114.5732,29.1463,1
0.1646,-0.1082,0.0246,16.5244,-107.439,28.6585,1
0.1564,-0.1088,0.0174,19.5122,-74.7561,35.4268,1
0.1375,-0.0994,0.0154,28.7195,-36.6463,39.3902,1
0.1202,-0.0917,0.0159,37.9878,-6.0366,39.5732,1
0.1085,-0.0883,0.0145,43.6585,16.8902,37.5,1
0.1002,-0.0856,0.012,48.2317,34.3293,35.7317,1
0.0938,-0.0825,0.0123,54.1463,48.1098,35.4878,1
0.0894,-0.0817,0.013000000000000001,59.7561,57.5,33.4756,1
0.0842,-0.0824,0.0136,62.43899999999999,64.1463,27.622,1
0.0799,-0.0808,0.0139,63.1707,67.3781,19.3902,1
0.0814,-0.0747,0.0133,63.3537,65.7927,9.878,1
0.0758,-0.0622,0.0151,63.2317,57.9878,0.6098,1
0.0684,-0.0497,0.0187,62.9268,40.9146,-7.8659,1
0.0722,-0.0416,0.0211,62.56100000000001,21.7073,-17.6829,1
0.085,-0.0357,0.0228,61.2805,5.6098,-27.1951,1
0.098,-0.0305,0.0222,60.0,-1.0366,-35.9756,1
0.11,-0.0256,0.0214,58.9634,6.2805,-44.4512,1
0.1169,-0.019,0.0234,56.5244,21.5244,-50.9756,1
0.113,-0.0086,0.0225,53.8415,36.7683,-55.6707,1
0.1029,0.0009,0.0225,51.8293,47.9268,-59.7561,1
0.0975,0.0094,0.0236,48.9024,46.1585,-63.1098,1
0.0979,0.0151,0.025,43.9634,30.9146,-64.8171,1
0.1097,0.0173,0.0295,37.6829,8.5976,-67.1951,1
0.1277,0.0206,0.0355,31.4634,-8.9634,-68.4756,1
0.1381,0.0256,0.0417,26.0366,-9.5732,-67.8659,1
0.1395,0.0288,0.043,20.8537,13.1707,-67.8659,1
0.1351,0.0278,0.0311,17.7439,52.1341,-67.3171,1
0.1232,0.027999999999999997,0.0242,17.5,84.5732,-62.9878,1
0.1096,0.0328,0.0264,17.7439,88.9634,-56.6463,1
0.1001,0.0352,0.0317,17.439,70.122,-50.9146,1
0.1013,0.0353,0.0366,16.4024,41.5244,-48.1707,1
0.1175,0.0353,0.0436,14.939,13.2317,-45.2439,1
0.1327,0.035,0.0522,13.0488,-8.4756,-39.2683,1
0.1355,0.0324,0.0599,9.939,-17.378,-33.5976,1
0.1306,0.0269,0.0587,7.622000000000001,-9.3293,-32.0122,1
0.1249,0.0207,0.0486,6.3415,9.5732,-30.4878,1
0.1146,0.0183,0.0391,5.3049,26.6463,-26.7683,1
0.1008,0.0179,0.0394,4.0854,30.1829,-23.7195,1
0.1019,0.017,0.0459,1.5854,19.939,-23.4756,1
0.1188,0.019,0.0571,0.1829,5.5488,-23.7805,1
0.1298,0.0211,0.0687,-1.2805,-4.6341,-21.7683,1
0.1251,0.0173,0.0717,-5.061,-4.6951,-22.3171,1
0.1134,0.0108,0.0674,-8.4756,7.9878,-25.061,1
0.1108,0.0048,0.0578,-9.3902,22.7439,-26.3415,1
0.1129,0.0031,0.0468,-8.6585,27.0122,-25.8537,1
0.1119,0.0095,0.0451,-7.8049,15.9146,-24.3293,1
0.1154,0.0166,0.0515,-6.8902,-4.5732,-22.8049,1
0.1251,0.0164,0.0557,-6.9512,-23.7195,-20.6707,1
0.1334,0.012,0.0584,-7.2561,-35.2439,-17.7439,1
0.1351,0.0063,0.0593,-6.1585,-35.6707,-13.4146,1
0.133,0.0001,0.059000000000000004,-3.4756,-28.1707,-8.4756,1
0.1366,-0.006,0.0525,-1.4024,-16.7073,-4.0244,1
0.136,-0.0084,0.0483,0.3049,-2.3171,-0.1829,1
0.1252,-0.009000000000000001,0.0499,2.2561,10.7927,2.439,1
0.1158,-0.01,0.0514,3.2927,18.7805,0.6707,1
0.11199999999999999,-0.0085,0.0516,3.9024,18.5366,-1.3415,1
0.1088,-0.0068,0.0509,4.0244,7.9268,-0.9146,1
0.109,-0.0087,0.0495,2.3171,-6.8293,-2.378,1
0.1135,-0.009000000000000001,0.0518,-0.9756,-17.6829,-3.9024,1
0.1152,-0.0082,0.0556,-3.7805,-23.9024,-3.9024,1
0.1159,-0.0074,0.0539,-6.2805,-27.561,-5.6707,1
0.1164,-0.0078,0.0501,-7.622000000000001,-27.622,-7.2561,1
0.1142,-0.0091,0.0484,-7.3171,-26.5244,-8.2317,1
0.1132,-0.0079,0.0475,-5.7927,-26.6463,-8.5976,1
0.1168,-0.0058,0.0444,-3.7195,-29.878,-8.5366,1
0.1159,-0.0033,0.0411,-2.439,-34.6951,-9.4512,1
0.1147,-0.001,0.0435,-1.8293,-38.2317,-12.3171,1
0.1166,0.0031,0.0433,-1.7683,-39.3293,-15.1829,1
0.1195,0.0103,0.0457,-2.7439,-40.3049,-16.2805,1
0.1215,0.0164,0.0494,-3.7805,-43.2927,-14.0244,1
0.1224,0.0188,0.0527,-5.7317,-53.7195,-9.3293,1
0.1199,0.0195,0.0547,-8.1098,-71.0976,-3.7805,1
0.1198,0.0186,0.0511,-10.3659,-89.0854,0.8537,1
0.1299,0.0211,0.0448,-11.5244,-103.0488,5.3659,1
0.1549,0.0255,0.0329,-10.4878,-108.5976,12.8049,1
0.1902,0.0311,0.0182,-5.5488,-102.6829,20.7927,1
0.1921,0.0375,0.0229,-1.2805,-90.5488,30.2439,1
0.1598,0.0367,0.0339,-1.0366,-80.6707,34.3902,1
0.1321,0.0341,0.0389,0.7927,-67.6829,30.8537,1
0.1359,0.0331,0.043,4.6951,-63.7805,32.8659,1
0.1525,0.0312,0.0457,6.4024,-67.3781,45.122,1
0.1586,0.0331,0.0482,5.122000000000001,-69.8781,58.9634,1
0.1522,0.0361,0.0449,5.7927,-62.6829,67.0122,1
0.1438,0.0384,0.043,5.8537,-49.3293,71.7683,1
0.1464,0.0394,0.0377,4.6341,-35.5488,76.6463,1
0.1638,0.0373,0.0255,5.0,-23.4146,84.5122,1
0.16399999999999998,0.033,0.0198,4.3293,-10.4268,92.8049,1
0.1433,0.0269,0.0209,4.0244,4.6951,96.5244,1
0.1229,0.021,0.0206,4.7561,24.3902,95.2439,1
0.115,0.0193,0.0186,3.6585,32.2561,95.3659,1
0.1128,0.0203,0.0227,0.9756,20.8537,96.8902,1
0.1201,0.0192,0.0266,-3.5366,-0.8537,95.7927,1
0.1217,0.0161,0.0269,-7.7439,-15.5488,91.5244,1
0.1144,0.0131,0.0248,-9.4512,-20.9756,87.3781,1
0.111,0.009000000000000001,0.0186,-10.3659,-20.5488,82.439,1
0.1078,0.0065,0.0141,-10.3659,-14.8171,77.9878,1
0.0999,-0.0009,0.0131,-9.2683,-5.9146,73.8415,1
0.0929,-0.0114,0.0079,-11.0366,3.9634,66.8902,1
0.0876,-0.0164,0.0016,-13.7195,15.6098,58.1707,1
0.0897,-0.0162,-0.0019,-14.2073,23.8415,51.0976,1
0.0925,-0.0148,-0.001,-15.0,23.9634,46.1585,1
0.0876,-0.0146,0.0042,-18.2317,14.2073,40.9756,1
0.0884,-0.0217,0.006,-23.9024,0.8537,34.7561,1
0.0916,-0.0304,0.0068,-30.4268,-6.0366,27.439,1
0.0862,-0.0399,0.0071,-35.4878,-5.1829,21.6463,1
0.0831,-0.052000000000000005,0.0003,-38.0488,2.0732,14.0854,1
0.085,-0.0596,-0.0042,-39.3293,12.9268,5.7317,1
