0,1,2,3,4,5,6
1574147405503.0,0.0671,-0.052,0.0955,-4.2073,1.7683,-21.3415
1574147405543.0,0.0601,-0.0527,0.0966,-4.1463,-7.2561,-21.4024
1574147405544.0,0.0571,-0.051,0.095,-0.9146,-6.2805,-22.0122
1574147405544.0,0.059,-0.0516,0.0954,-0.4878,-3.7805,-22.1951
1574147405545.0,0.0622,-0.0497,0.0983,-0.6098,-4.0244,-21.3415
1574147405546.0,0.0692,-0.0465,0.1039,-1.2195,-6.5854,-21.7073
1574147405588.0,0.0745,-0.0435,0.1077,-3.7195,-6.5244,-21.2195
1574147405633.0,0.0814,-0.045,0.1077,-6.2805,-4.5732,-20.5488
1574147405678.0,0.0842,-0.047,0.1053,-8.2927,-0.4878,-18.6585
1574147405679.0,0.0831,-0.0472,0.1022,-9.2683,5.1829,-16.0366
1574147405680.0,0.0848,-0.0458,0.0994,-9.939,10.8537,-13.1707
1574147405681.0,0.0883,-0.0427,0.0986,-10.061,12.9878,-10.4268
1574147405683.0,0.0914,-0.0412,0.0952,-11.0366,13.5976,-6.4634
1574147405684.0,0.087,-0.0392,0.0905,-11.7073,12.0732,-0.7927
1574147405685.0,0.0803,-0.0358,0.0889,-11.2195,7.5,4.5122
1574147405686.0,0.0883,-0.0341,0.0901,-12.561,-2.1951,10.6098
1574147405687.0,0.0961,-0.0382,0.0925,-16.7683,-13.8415,19.0854
1574147405687.0,0.0953,-0.0433,0.0927,-17.6829,-18.3537,27.378
1574147405723.0,0.0917,-0.0461,0.09,-15.6707,-16.5244,33.8415
1574147405724.0,0.0845,-0.0482,0.0884,-13.5366,-14.5122,39.3293
1574147405724.0,0.0815,-0.0491,0.0884,-12.0122,-15.4268,43.1707
1574147405725.0,0.0775,-0.0495,0.086,-10.8537,-18.1707,46.7683
1574147405726.0,0.0714,-0.0504,0.0842,-8.5976,-23.1098,50.1829
1574147405726.0,0.0682,-0.0497,0.0819,-5.6707,-30.5488,52.2561
1574147405768.0,0.0679,-0.0491,0.0804,-4.6341,-42.6829,54.3293
1574147405769.0,0.0697,-0.051,0.0821,-3.9634,-56.4634,56.6463
1574147405770.0,0.0743,-0.0549,0.0811,-2.0732,-69.2073,58.9024
1574147405770.0,0.0714,-0.0551,0.0759,1.1585,-78.5976,60.9756
1574147405771.0,0.0673,-0.0547,0.0756,7.7439,-80.4268,62.1951
1574147405813.0,0.0678,-0.0568,0.0797,13.5976,-73.5976,62.439
1574147405815.0,0.0715,-0.0588,0.0868,18.0488,-66.8293,62.0732
1574147405815.0,0.0758,-0.0596,0.0905,22.0122,-62.1341,60.3659
1574147405816.0,0.0721,-0.0588,0.0909,24.6951,-58.4756,60.7927
1574147405858.0,0.0635,-0.0599,0.0909,26.5854,-56.3415,62.0122
1574147405859.0,0.0592,-0.0623,0.0914,28.2927,-55.7927,60.8537
1574147405860.0,0.0602,-0.0627,0.0921,28.9024,-57.1341,58.7805
1574147405861.0,0.06,-0.0618,0.0896,28.3537,-59.2073,56.8293
1574147405862.0,0.0553,-0.0615,0.0882,28.9024,-62.3171,54.0854
1574147405904.0,0.0536,-0.0636,0.0906,30.6707,-66.7073,51.4024
1574147405905.0,0.0552,-0.0644,0.0933,32.1341,-70.8537,48.9634
1574147405906.0,0.0521,-0.0629,0.0899,33.1707,-73.7805,46.3415
1574147405907.0,0.0482,-0.0621,0.0881,34.5122,-76.5244,42.622
1574147405948.0,0.052,-0.0624,0.0905,35.6707,-79.4512,37.561
1574147405949.0,0.0558,-0.061,0.0916,35.6098,-80.3049,33.2927
1574147405950.0,0.054,-0.0594,0.0904,36.0976,-77.3781,29.3902
1574147405950.0,0.0513,-0.0583,0.0925,37.378,-71.8293,24.1463
