0,1,2,3,4,5,6
1574837475734.0,0.2811,0.1274,0.9778,-3.9024,-1.8293,4.2073
1574837475741.0,0.2809,0.1324,0.9744,-2.8659,-2.6829,3.8415
1574837475764.0,0.287,0.1294,0.9727,-3.1707,-2.6829,3.7805
1574837475764.0,0.2906,0.1288,0.9706,-3.5976,-2.5,3.9024
1574837475779.0,0.2787,0.1307,0.9734,-3.5976,-1.8293,3.9634
1574837475786.0,0.2783,0.1282,0.9693,-3.4756,-1.6463,3.9634
1574837475794.0,0.2871,0.1304,0.9669,-2.9268,-1.7683,3.9634
1574837475801.0,0.301,0.1235,0.9672,-2.9268,-1.3415,3.9024
1574837475816.0,0.2981,0.1326,0.9737,-3.1098,-0.1829,3.1098
1574837475824.0,0.2754,0.1312,0.9753,-3.9634,1.0976,1.9512
1574837475831.0,0.2431,0.1256,0.9698,-5.4268,1.4024,1.2195
1574837475839.0,0.2336,0.1234,0.974,-5.8537,0.7317,1.3415
1574837475854.0,0.2627,0.1317,0.9774,-5.0,-1.8293,2.0122
1574837475861.0,0.2764,0.136,0.9667,-4.878,-5.3659,1.4634
1574837475869.0,0.288,0.1273,0.9721,-5.9146,-6.8293,1.4024
1574837475884.0,0.2914,0.1298,0.9711,-6.5854,-7.561,1.6463
1574837475891.0,0.2968,0.133,0.9669,-7.0732,-7.3171,1.7073
1574837475899.0,0.3035,0.1196,0.9703,-9.2073,-6.0976,1.3415
1574837475914.0,0.2961,0.1171,0.9726,-10.9756,-4.3902,1.2805
1574837475921.0,0.2974,0.1188,0.9705,-11.5244,-2.8659,1.2805
1574837475929.0,0.3005,0.111,0.9709,-12.3171,-2.2561,0.9756
1574837475951.0,0.2964,0.1088,0.9739,-12.7439,-1.0976,0.9756
1574837475952.0,0.2879,0.1105,0.9756,-13.1098,-0.2439,1.0366
1574837475959.0,0.2719,0.1,0.968,-13.9024,0.0,1.3415
1574837475974.0,0.2759,0.0893,0.9717,-14.2683,0.0,1.8293
1574837475981.0,0.2906,0.0956,0.9742,-13.4146,-0.9146,2.3171
1574837475989.0,0.2961,0.1027,0.9799,-12.8659,-1.6463,2.1951
1574837476004.0,0.3089,0.1028,0.9816,-14.2073,-1.7683,2.3171
1574837476011.0,0.313,0.0876,0.9761,-16.5854,-1.7073,2.561
1574837476019.0,0.3196,0.0877,0.9781,-18.4756,-0.7317,2.7439
1574837476026.0,0.3054,0.1049,0.9706,-16.7073,1.3415,3.2317
1574837476049.0,0.2745,0.1088,0.9727,-15.6707,3.6585,3.4756
1574837476049.0,0.2683,0.1202,0.9747,-15.9146,4.878,4.0854
1574837476056.0,0.2825,0.1343,0.9758,-16.8293,3.9024,5.2439
1574837476071.0,0.2811,0.1202,0.97,-20.3049,2.0732,7.622
1574837476079.0,0.2756,0.1027,0.9694,-24.3902,2.0732,11.4024
1574837476086.0,0.3066,0.0884,0.9722,-25.7317,1.7683,15.9756
1574837476101.0,0.3071,0.087,0.9714,-26.5854,1.2195,19.6951
1574837476109.0,0.2921,0.0958,0.9681,-27.9268,2.561,21.4634
1574837476116.0,0.2961,0.0671,0.9666,-30.6707,3.1098,24.1463
1574837476132.0,0.3019,0.0594,0.963,-32.378,3.5366,26.0976
1574837476139.0,0.2921,0.0552,0.9613,-33.1707,4.0244,27.378
1574837476146.0,0.2797,0.051,0.9726,-34.939,3.8415,28.3537
1574837476161.0,0.2642,0.0214,0.9675,-37.3171,3.1098,28.4146
1574837476169.0,0.2641,-0.0146,0.9759,-40.6098,1.3415,27.9268
1574837476176.0,0.2714,-0.0201,0.9921,-40.2439,-0.6098,27.8659
1574837476184.0,0.2936,-0.0179,0.9901,-38.4756,-2.1341,26.4634
1574837476199.0,0.2963,-0.0332,0.9859,-38.5366,-3.8415,24.3293
