0,1,2,3,4,5,6
1574685458721.0,0.0934,-0.1225,0.7399,37.8049,-152.7439,-26.8902
1574685458722.0,0.1689,-0.0379,0.9245,45.061,-147.9878,-25.7317
1574685458724.0,0.2049,0.0226,1.0523,53.5366,-134.3902,-27.1341
1574685458763.0,0.2417,0.017,1.129,53.2317,-117.6829,-25.9146
1574685458765.0,0.2606,0.015,1.1777,48.8415,-99.8171,-22.439
1574685458766.0,0.2338,0.0209,1.2001,44.4512,-82.0122,-20.9146
1574685458767.0,0.1693,0.009,1.1554,38.3537,-68.8415,-20.9756
1574685458769.0,0.1021,-0.0305,1.0869,29.7561,-64.6341,-20.0
1574685458809.0,0.0847,-0.0479,1.0269,23.1707,-69.6951,-17.9268
1574685458810.0,0.1165,-0.0522,0.9886,18.2317,-81.2805,-14.8171
1574685458811.0,0.1627,-0.0618,0.9756,13.2317,-95.061,-12.6829
1574685458812.0,0.2201,-0.0649,0.978,8.4756,-106.7073,-10.7927
1574685458814.0,0.2545,-0.0837,0.9856,2.8659,-113.5976,-8.7805
1574685458853.0,0.2858,-0.1234,0.9894,-3.9024,-115.9756,-6.8293
1574685458855.0,0.3243,-0.1595,0.9987,-8.6585,-115.061,-5.4268
1574685458856.0,0.3536,-0.1859,0.9985,-10.3659,-110.9756,-4.6341
1574685458857.0,0.3727,-0.2128,1.0029,-10.8537,-104.2683,-5.0
1574685458858.0,0.388,-0.2377,1.0018,-10.9146,-96.0976,-6.0366
1574685458898.0,0.3953,-0.2625,1.0021,-10.122,-86.4634,-7.7439
1574685458900.0,0.4029,-0.2732,0.9824,-7.9878,-74.2073,-10.2439
1574685458901.0,0.4139,-0.2768,0.96,-5.5488,-59.939,-12.561
1574685458902.0,0.4406,-0.2723,0.9632,-3.2317,-44.5122,-15.122
1574685458904.0,0.4502,-0.2434,0.9719,-0.3049,-27.9268,-18.1707
1574685458943.0,0.4382,-0.2216,0.9822,1.5854,-12.2561,-21.6463
1574685458945.0,0.4308,-0.2169,0.9867,1.4024,0.9756,-24.7561
1574685458946.0,0.4193,-0.233,0.9786,1.0976,10.4878,-26.9512
1574685458947.0,0.4008,-0.2609,0.9872,-0.061,16.2805,-29.5122
1574685458988.0,0.3772,-0.2712,0.9968,-0.7927,17.8659,-29.7561
1574685458989.0,0.3586,-0.2628,0.9908,-1.6463,13.5366,-29.2073
1574685458990.0,0.3683,-0.2377,0.9932,-1.8293,4.1463,-28.7805
1574685458992.0,0.3858,-0.2021,0.9918,-0.6098,-8.5366,-26.7683
1574685458993.0,0.4003,-0.1686,0.9747,0.6098,-21.5854,-23.8415
1574685459033.0,0.4107,-0.1366,0.9481,1.7683,-31.7073,-20.4878
