x-axis,y-axis,z-axis,xg-axis,yg-axis,zg-axis,activity
0.3558,-0.1071,0.9513,-24.6951,-13.4146,14.7561,1
0.3599,-0.1262,0.9465,-26.5244,-15.3659,13.9634,1
0.368,-0.1324,0.9529,-28.2927,-17.2561,13.7805,1
0.3781,-0.145,0.9458,-29.0854,-18.4146,13.4146,1
0.3817,-0.1633,0.948,-30.4878,-18.5366,12.2561,1
0.3787,-0.1724,0.9501,-29.6341,-18.5976,10.9756,1
0.3776,-0.1769,0.9523,-28.2317,-18.5976,10.0,1
0.3804,-0.1863,0.9437,-27.439,-18.7195,8.9634,1
0.3811,-0.1886,0.9391,-25.6098,-18.7805,8.1707,1
0.3865,-0.2083,0.937,-24.6341,-19.5122,7.2561,1
0.39299999999999996,-0.2207,0.9421,-23.5976,-19.6341,5.1829,1
0.4026,-0.2316,0.9398,-21.2195,-19.1463,3.1707,1
0.4073,-0.2333,0.9412,-18.0488,-18.9024,1.4634,1
0.4127,-0.2318,0.9341,-13.4146,-18.6585,-0.1829,1
0.4114,-0.2237,0.9381,-8.7805,-18.2927,-1.8293,1
0.4248,-0.2114,0.941,-3.6585,-17.439,-2.439,1
0.439,-0.2047,0.9412,0.6707,-15.6707,-2.439,1
0.4474,-0.2101,0.9465,4.3293,-13.4756,-1.5244,1
0.4618,-0.2028,0.9427,8.7195,-10.4268,0.0,1
0.4678,-0.1633,0.9315,14.1463,-6.4634,2.5610000000000004,1
0.4501,-0.1451,0.9332,16.7073,-2.6829,4.7561,1
0.435,-0.1639,0.9443,14.0244,-2.378,5.9146,1
0.4235,-0.1732,0.9475,10.6098,-5.9146,6.9512,1
0.4115,-0.16,0.9365,9.3902,-11.0976,8.7195,1
0.4518,-0.1627,0.9481,8.2927,-19.1463,12.1951,1
0.5184,-0.1619,0.9527,5.6707,-27.9268,15.7927,1
0.4531,-0.1999,0.855,2.8659,-34.6341,19.7561,1
0.1794,-0.3557,0.6555,-1.4634,-40.4878,25.5488,1
0.9288,-0.1367,0.9081,3.3537,-91.2195,49.0854,1
1.0899,-0.1498,0.9736,9.4512,-160.061,62.9878,1
0.9348,-0.1205,0.9816,-2.9268,-147.439,43.0488,1
0.8408,-0.2444,0.9564,-10.7317,-122.3171,46.0976,1
0.8785,-0.2853,0.9328,-13.5366,-112.8659,47.0122,1
0.8727,-0.31,0.9126,-12.3171,-108.9634,47.622,1
0.8282,-0.3272,0.8981,-12.0122,-100.6098,52.43899999999999,1
0.7971,-0.358,0.8929,-13.5976,-95.061,60.3659,1
0.807,-0.3873,0.8883,-14.3293,-95.12200000000001,66.1585,1
0.8271,-0.4037,0.8628,-12.5,-97.2561,72.8049,1
0.8219,-0.40299999999999997,0.8276,-8.9634,-94.0244,78.6585,1
0.759,-0.3984,0.7733,-5.3049,-84.5122,83.5976,1
0.723,-0.4305,0.7372,-4.5122,-74.4512,88.0488,1
0.7159,-0.4267,0.7277,-0.4878,-66.1585,90.9146,1
0.6771,-0.4112,0.7177,6.0366,-59.0854,93.3537,1
0.609,-0.4167,0.6957,11.4634,-51.6463,94.6341,1
0.5414,-0.4219,0.6662,15.061,-45.7317,95.9756,1
0.5055,-0.426,0.6493,19.2073,-42.6829,96.4634,1
0.493,-0.3985,0.662,25.8537,-41.1585,94.6951,1
0.4746,-0.34700000000000003,0.6724,35.3659,-38.5366,90.8537,1
0.4639,-0.3644,0.6609,39.3902,-34.4512,86.3415,1
0.4651,-0.3679,0.637,41.1585,-27.439,81.9512,1
0.4199,-0.3452,0.6128,46.5244,-16.7683,75.9756,1
0.3643,-0.3124,0.6108,50.3049,-6.2195,68.2317,1
0.34700000000000003,-0.3089,0.6306,53.4756,-0.9756,62.56100000000001,1
0.3367,-0.3201,0.6729999999999999,59.0244,0.8537,54.7561,1
0.3466,-0.302,0.7018,66.0976,3.1098,47.0732,1
0.3685,-0.2431,0.7426,74.2683,8.5366,38.9024,1
0.4031,-0.1777,0.8029999999999999,81.0366,16.5244,26.6463,1
0.3666,-0.0961,0.8413,86.5854,26.7683,12.622,1
0.3199,-0.046,0.8157,85.12200000000001,36.8293,0.6098,1
0.345,-0.0336,0.8044,76.2805,41.6463,-8.2317,1
0.3403,-0.0049,0.8,71.8293,41.7073,-15.061,1
0.2699,0.0058,0.7904,67.561,46.3415,-21.4634,1
0.2096,0.017,0.7955,58.8415,52.7439,-25.9146,1
0.2111,0.0377,0.8416,49.4512,49.8171,-28.9024,1
0.2439,0.0391,0.9465,40.6098,35.061,-31.7073,1
0.3442,0.0699,1.0613,33.5976,14.6951,-35.4268,1
0.4241,0.0939,1.0967,31.7683,-1.5854,-40.5488,1
0.431,0.0692,1.0854,30.061,-8.9024,-47.43899999999999,1
0.5236,0.0534,1.08,28.5366,-13.9634,-52.0732,1
0.5901,0.0566,1.0585,32.439,-17.622,-56.8293,1
0.5829,0.0643,0.9890000000000001,35.2439,-13.8415,-62.622,1
0.5878,0.0354,0.9159999999999999,32.9878,-1.2805,-66.8293,1
0.7056,0.0086,0.8646,28.3537,18.6585,-66.4634,1
0.782,0.0289,0.8174,32.378,50.7927,-60.4268,1
0.5996,0.0597,0.7815,31.1585,85.7927,-55.3659,1
0.6553,0.1013,0.9203,21.0366,92.439,-39.878,1
0.9504,0.12,1.1026,16.2195,64.3902,-18.5976,1
0.8098,0.10400000000000001,1.0754,20.0,33.5366,-8.0488,1
0.635,-0.0305,0.9335,16.2805,29.0244,-4.6341,1
0.7254,-0.0863,0.8777,10.6707,21.7073,1.3415,1
0.7078,-0.0613,0.8453,2.9268,7.2561,16.3415,1
0.6296,-0.1047,0.7578,-10.4878,5.122000000000001,25.7927,1
0.6554,-0.1566,0.7169,-20.3659,2.8659,30.2439,1
0.6498,-0.1801,0.7672,-19.6951,-17.7439,30.1829,1
0.6614,-0.1506,0.884,-14.7561,-38.6585,14.8171,1
0.6464,-0.0657,0.8793,-22.0732,-44.4512,1.8293,1
0.4613,-0.0486,0.7291,-38.2927,-21.8902,-9.2073,1
0.3148,0.0092,0.6884,-55.3049,22.561,-18.0488,1
0.2634,0.1261,0.5827,-72.0732,38.4756,-15.6707,1
0.1276,0.1388,0.5499,-75.3659,9.1463,-13.5976,1
0.1151,-0.0252,0.7596,-74.6341,-50.4878,-19.1463,1
0.3098,0.0095,1.0205,-94.5732,-115.6707,-35.061,1
0.5212,0.0536,1.123,-120.7927,-161.6463,-34.2073,1
0.5959,0.0057,1.0407,-133.9024,-187.0732,-32.7439,1
0.7623,-0.0797,0.95,-141.4634,-190.9146,-44.5732,1
0.8059999999999999,-0.1274,0.9114,-147.7439,-183.2927,-59.4512,1
0.6732,-0.1558,0.8365,-149.6951,-166.1585,-74.2073,1
0.5668,-0.2263,0.7333,-152.3171,-140.9756,-84.6951,1
0.6755,-0.2959,0.6693,-154.8171,-122.6829,-85.3659,1
0.7639,-0.3262,0.6345,-149.3293,-117.7439,-85.7927,1
0.7328,-0.3619,0.6117,-139.8171,-114.1463,-92.6829,1
0.8444,-0.3814,0.5626,-124.6341,-106.3415,-97.0732,1
1.1312,-0.3412,0.4746,-97.561,-90.9756,-101.6463,1
1.3076,-0.3154,0.4055,-54.2073,-47.0732,-108.1098,1
1.3980000000000001,-0.3694,0.3206,-12.622,23.1098,-111.7073,1
1.3448,-0.3138,0.2444,10.9146,102.561,-110.0,1
1.1188,-0.3206,0.1425,24.0244,170.06099999999998,-103.8415,1
0.7098,-0.3573,0.0402,37.439,217.43900000000002,-94.5122,1
0.4509,-0.3586,0.1022,46.4634,224.93900000000002,-81.1585,1
0.415,-0.2391,0.4835,56.6463,192.7439,-60.6707,1
1.0052,-0.3098,0.8320000000000001,64.6951,130.4268,-20.9146,1
1.1028,-0.1108,1.0427,68.5366,82.8049,-2.6829,1
1.1111,-0.1464,1.1974,81.2195,96.3415,14.2073,1
1.4026,-0.11,1.1336,73.2317,114.8171,35.6707,1
1.6703,-0.0811,0.8899,53.7805,131.0976,26.8293,1
1.3956,-0.2264,0.9059999999999999,24.7561,183.1707,25.4878,1
0.7993,-0.222,0.884,13.6585,255.5488,15.5488,1
0.3477,-0.3626,0.7676,6.1585,306.0976,6.8902,1
-0.0072,-0.3335,0.6285,21.0976,318.1098,1.8902,1
-0.2284,-0.3964,0.8063,63.1707,301.7683,9.4512,1
-0.0923,-0.162,0.9211,82.7439,246.5244,17.0732,1
0.2766,0.1385,1.0716,69.5732,161.0976,11.4024,1
0.3738,0.0928,1.2026,27.1341,121.4024,20.122,1
0.2116,-0.1923,1.1584,-29.7561,132.8049,25.4878,1
0.2635,-0.3228,1.1179,-52.9268,134.8781,39.6951,1
0.5161,-0.2125,1.1042,-36.0366,100.061,49.2683,1
0.3599,-0.1599,1.0023,-20.3659,77.8049,51.3415,1
0.16,-0.2295,0.8942,-22.9878,87.1951,55.5488,1
0.1928,-0.2412,0.882,-16.2195,80.3049,57.6829,1
0.2164,-0.1951,0.884,3.0488,56.3415,62.622,1
0.1091,-0.1873,0.8776,13.7805,39.8171,69.2073,1
0.011000000000000001,-0.1768,0.8341,14.3293,27.8049,71.7073,1
-0.0469,-0.1857,0.8195,13.5976,3.6585,72.3171,1
-0.0857,-0.1987,0.8504,18.7805,-35.4268,71.1585,1
-0.1199,-0.2023,0.8707,28.9024,-85.4878,67.9878,1
-0.0916,-0.1915,0.8871,38.5366,-138.7805,61.5244,1
0.069,-0.1654,0.8468,49.2073,-181.5854,55.3049,1
0.2444,-0.1252,0.7645,62.5,-198.6585,47.7439,1
0.41700000000000004,-0.1097,0.7167,65.3049,-183.7195,36.8293,1
0.4672,-0.0865,0.7162,55.9756,-145.3049,27.0122,1
0.3767,-0.0764,0.7391,45.3659,-97.9268,18.4756,1
0.3345,-0.0559,0.7921,38.1707,-57.8049,15.061,1
0.3712,0.0012,0.8354,38.4146,-35.4878,16.3415,1
0.3009,0.047,0.8717,31.5244,-21.8293,18.2927,1
0.2868,0.0533,0.9399,22.3171,-31.8293,15.6707,1
0.2934,0.0264,0.9946,26.8293,-69.7561,7.622000000000001,1
0.4221,0.0782,1.0594,27.7439,-121.7073,2.9268,1
0.7801,0.11599999999999999,1.1683,27.622,-166.7073,-5.4878,1
0.8332,0.1157,1.2122,26.7073,-169.7561,-12.9878,1
0.7896,0.0445,1.1427,15.3659,-131.5244,-12.2561,1
0.7237,-0.0636,1.0165,6.1585,-75.3659,-13.3537,1
0.7015,-0.0356,0.9204,3.1098,-24.3902,-10.7927,1
0.6848,-0.038,0.8702,1.7683,7.9878,-10.9146,1
0.5636,-0.0556,0.8306,1.0976,29.3902,-15.9756,1
0.4481,-0.0748,0.8088,-0.9146,43.2317,-19.5732,1
0.3421,-0.0993,0.79,0.3659,43.9634,-22.0732,1
0.3351,-0.1139,0.7958,3.0488,34.6951,-23.1707,1
0.3998,-0.073,0.8492,7.3171,20.5488,-24.5732,1
0.3461,-0.0352,0.9201,8.2927,15.8537,-28.7195,1
0.3407,-0.0491,0.9941,2.0122,17.3171,-25.4878,1
0.4191,-0.071,1.0377,-1.6463,10.3049,-19.0854,1
0.4535,-0.0355,1.0793,1.2805,-0.4268,-14.0854,1
0.4932,-0.0492,1.0821,2.1951,-2.5,-14.878,1
0.5334,-0.0508,1.0448,3.1098,4.939,-14.878,1
0.4771,-0.0123,0.9990000000000001,5.8537,19.878,-15.7317,1
0.4904,-0.0366,1.0106,2.3171,30.3049,-15.4268,1
0.3809,-0.027000000000000003,0.9994,-3.3537,27.8659,-16.6463,1
0.1824,-0.0016,1.0176,-4.4512,21.9512,-20.6707,1
0.3616,-0.0925,1.0708,-5.3659,0.3049,-11.1585,1
0.7070000000000001,-0.0073,1.11,-1.4024,-45.3049,-10.3659,1
0.6886,0.0333,1.101,2.5610000000000004,-57.622,-17.2561,1
0.6457,0.0046,1.0667,-1.0366,-30.3659,-23.3537,1
